shipment_ref,origin_port,destination_port,distance_km,transit_time_days,container_type,cargo_type,weight_kg,volume_cbm,carrier_tier,departure_month,seasonality_index,brent_fuel_index,market_demand_factor,actual_freight_price_usd
SHP-11332,Singapore,Fremantle,3980.9,10,LCL_Consolidated,Hazardous_Chemicals,1288.5,5.6,Tier_3_Spot,9,1.25,77.8,1.36,2917.23
SHP-11333,Shanghai,Los Angeles,10483.0,17,LCL_Consolidated,Electronics,2985.4,7.6,Tier_3_Spot,5,1.05,96.8,1.37,3609.66
SHP-11334,Nhava Sheva,New York,14232.8,26,LCL_Consolidated,General_Dry,1110.2,6.6,Tier_1_Alliance,7,1.05,89.2,1.29,3851.49
SHP-11335,Singapore,Fremantle,3937.6,9,LCL_Consolidated,Automotive,1318.3,12.7,Tier_3_Spot,8,1.25,106.1,1.19,2475.59
SHP-11336,Shanghai,Rotterdam,19597.6,29,20ft_Standard,Electronics,14232.6,27.2,Tier_1_Alliance,3,1.05,76.0,1.38,8233.4
SHP-11337,Santos,Rotterdam,10139.4,19,40ft_HighCube,Textiles,16384.8,75.5,Tier_1_Alliance,8,1.25,72.6,1.36,10513.2
SHP-11338,Hamburg,Singapore,15898.3,25,40ft_HighCube,Electronics,15044.4,61.1,Tier_3_Spot,1,0.9,89.6,1.37,8007.06
SHP-11339,Chennai,Rotterdam,11529.9,23,40ft_HighCube,Perishable_Reefer,16075.3,53.5,Tier_2_Regional,11,1.05,88.5,0.92,7056.85
SHP-11340,Tokyo,Los Angeles,8706.3,14,20ft_Standard,Textiles,3345.8,21.9,Tier_3_Spot,8,1.25,85.7,0.9,3056.77
SHP-11341,Santos,Rotterdam,10154.1,20,40ft_HighCube,Hazardous_Chemicals,25365.3,69.3,Tier_3_Spot,7,1.05,97.5,0.95,8034.11
SHP-11342,Shanghai,Rotterdam,19543.8,31,40ft_Standard,Perishable_Reefer,12800.1,64.2,Tier_2_Regional,11,1.05,75.1,1.24,10514.63
SHP-11343,Shanghai,Rotterdam,19572.3,27,20ft_Standard,Electronics,7373.3,18.2,Tier_1_Alliance,2,0.9,77.5,1.31,6200.6
SHP-11344,Nhava Sheva,New York,14272.7,25,20ft_Standard,Textiles,18662.9,26.1,Tier_2_Regional,3,1.05,93.0,1.4,6260.53
SHP-11345,Chennai,Colombo,676.2,4,20ft_Standard,Automotive,4011.0,17.5,Tier_1_Alliance,12,1.05,105.4,0.98,2423.77
SHP-11346,Busan,Long Beach,9490.3,12,LCL_Consolidated,Textiles,1446.0,10.6,Tier_1_Alliance,7,1.05,83.5,1.17,2720.35
SHP-11347,Chennai,Colombo,713.5,5,40ft_Standard,Perishable_Reefer,21168.2,53.9,Tier_2_Regional,1,0.9,87.9,1.15,5587.1
SHP-11348,Nhava Sheva,New York,14135.2,26,40ft_HighCube,Electronics,20357.8,50.9,Tier_3_Spot,2,0.9,97.3,0.92,5200.28
SHP-11349,Shanghai,Los Angeles,10569.7,14,40ft_Standard,Perishable_Reefer,23048.7,44.5,Tier_3_Spot,7,1.05,90.2,1.03,6904.37
SHP-11350,Hamburg,Singapore,15750.2,25,40ft_Standard,Automotive,19787.2,66.0,Tier_1_Alliance,5,1.05,82.1,0.97,7174.63
SHP-11351,Chennai,Rotterdam,11412.6,23,20ft_Standard,Automotive,4439.1,28.8,Tier_2_Regional,12,1.05,88.1,1.41,5339.5
SHP-11352,Santos,Rotterdam,10117.6,21,40ft_HighCube,Textiles,20899.1,74.7,Tier_3_Spot,10,1.25,81.4,1.33,9131.82
SHP-11353,Chennai,Colombo,621.6,5,40ft_HighCube,Perishable_Reefer,23741.4,54.7,Tier_2_Regional,12,1.05,78.9,1.2,7395.73
SHP-11354,Chennai,Rotterdam,11538.2,24,LCL_Consolidated,Perishable_Reefer,4655.5,12.2,Tier_2_Regional,7,1.05,88.7,1.37,4780.07
SHP-11355,Chennai,Colombo,580.5,5,LCL_Consolidated,General_Dry,4047.2,6.6,Tier_1_Alliance,11,1.05,77.4,1.08,1099.07
SHP-11356,Hamburg,Singapore,15858.3,24,40ft_Standard,Automotive,11905.9,35.5,Tier_1_Alliance,8,1.25,77.4,1.06,8038.02
SHP-11357,Chennai,Rotterdam,11499.5,22,40ft_HighCube,Automotive,14099.3,60.1,Tier_2_Regional,12,1.05,90.0,1.11,7021.98
SHP-11358,Shanghai,Los Angeles,10497.5,13,40ft_HighCube,General_Dry,27153.1,66.9,Tier_1_Alliance,10,1.25,82.4,1.01,8072.75
SHP-11359,Chennai,Colombo,710.7,5,LCL_Consolidated,General_Dry,3341.8,6.1,Tier_2_Regional,5,1.05,96.6,1.11,1307.47
SHP-11360,Nhava Sheva,New York,14219.8,29,40ft_HighCube,Hazardous_Chemicals,16720.4,66.3,Tier_3_Spot,3,1.05,85.3,1.4,11894.29
SHP-11361,Nhava Sheva,New York,14103.5,27,LCL_Consolidated,Electronics,4750.6,10.3,Tier_1_Alliance,6,1.05,94.8,1.37,5125.37
SHP-11362,Chennai,Colombo,707.4,6,40ft_HighCube,Automotive,22569.9,73.0,Tier_2_Regional,6,1.05,100.1,1.19,6597.3
SHP-11363,Nhava Sheva,Dubai,2141.6,8,40ft_Standard,Electronics,18139.4,63.5,Tier_2_Regional,6,1.05,90.4,0.93,4697.49
SHP-11364,Shanghai,Los Angeles,10524.7,13,LCL_Consolidated,Perishable_Reefer,4551.9,13.4,Tier_3_Spot,12,1.05,81.6,1.12,3502.99
SHP-11365,Nhava Sheva,Dubai,2158.3,6,40ft_Standard,Hazardous_Chemicals,16527.4,42.1,Tier_1_Alliance,1,0.9,83.8,1.33,7141.08
SHP-11366,Chennai,Colombo,662.4,4,40ft_HighCube,Perishable_Reefer,20885.9,61.6,Tier_2_Regional,11,1.05,78.8,1.38,8519.1
SHP-11367,Singapore,Fremantle,3824.1,7,40ft_Standard,Automotive,13084.2,60.3,Tier_3_Spot,7,1.05,97.2,1.34,6128.38
SHP-11368,Singapore,Dubai,5852.2,10,40ft_HighCube,General_Dry,21729.4,68.6,Tier_1_Alliance,2,0.9,85.3,1.3,6649.65
SHP-11369,Shanghai,Los Angeles,10489.3,16,40ft_Standard,Automotive,21652.3,38.4,Tier_2_Regional,5,1.05,88.4,0.99,5523.88
SHP-11370,Singapore,Fremantle,3890.7,8,40ft_Standard,Hazardous_Chemicals,10230.5,62.8,Tier_1_Alliance,9,1.25,89.2,0.96,7918.61
SHP-11371,Busan,Long Beach,9375.0,12,LCL_Consolidated,Textiles,2279.9,5.9,Tier_2_Regional,1,0.9,95.2,1.05,2084.86
SHP-11372,Singapore,Fremantle,3807.9,11,20ft_Standard,Textiles,15846.0,23.9,Tier_3_Spot,2,0.9,77.0,0.94,2083.33
SHP-11373,Shanghai,Los Angeles,10588.0,14,20ft_Standard,Hazardous_Chemicals,9086.8,22.4,Tier_2_Regional,2,0.9,89.7,1.17,4954.63
SHP-11374,Tokyo,Los Angeles,8783.3,13,40ft_Standard,Automotive,22658.6,49.4,Tier_1_Alliance,2,0.9,99.5,1.35,7407.62
SHP-11375,Nhava Sheva,Dubai,2047.9,8,20ft_Standard,General_Dry,18172.1,19.1,Tier_3_Spot,1,0.9,73.5,1.29,2612.37
SHP-11376,Shanghai,Los Angeles,10590.9,14,40ft_HighCube,Hazardous_Chemicals,23607.3,65.8,Tier_2_Regional,1,0.9,90.4,1.04,7823.3
SHP-11377,Chennai,Rotterdam,11533.9,24,20ft_Standard,General_Dry,13614.0,18.8,Tier_1_Alliance,10,1.25,89.7,1.07,5197.41
SHP-11378,Nhava Sheva,New York,14216.3,27,40ft_Standard,Perishable_Reefer,10740.6,35.2,Tier_1_Alliance,11,1.05,98.8,1.03,7952.93
SHP-11379,Tokyo,Los Angeles,8774.9,13,40ft_Standard,Electronics,12613.0,41.3,Tier_3_Spot,5,1.05,86.1,1.23,6195.55
SHP-11380,Chennai,Colombo,555.8,6,LCL_Consolidated,Electronics,1007.1,6.6,Tier_1_Alliance,2,0.9,98.7,1.35,1638.5
SHP-11381,Nhava Sheva,Dubai,2152.0,6,40ft_Standard,Automotive,14496.9,36.7,Tier_2_Regional,11,1.05,80.3,1.36,5542.13
SHP-11382,Singapore,Dubai,5843.4,9,40ft_HighCube,General_Dry,24932.6,71.7,Tier_1_Alliance,4,1.05,90.0,1.27,7994.92
SHP-11383,Busan,Long Beach,9365.5,15,40ft_Standard,Perishable_Reefer,18094.9,44.1,Tier_2_Regional,11,1.05,102.9,1.01,6891.4
SHP-11384,Singapore,Fremantle,3821.5,7,20ft_Standard,Automotive,18429.0,32.0,Tier_1_Alliance,1,0.9,82.9,1.09,3518.02
SHP-11385,Singapore,Fremantle,3992.2,7,20ft_Standard,Hazardous_Chemicals,14623.9,32.5,Tier_1_Alliance,12,1.05,103.6,0.92,4644.15
SHP-11386,Hamburg,Singapore,15830.7,25,20ft_Standard,General_Dry,5553.1,23.2,Tier_2_Regional,4,1.05,76.3,1.22,4785.89
SHP-11387,Santos,Rotterdam,10258.6,20,40ft_Standard,General_Dry,9549.7,42.5,Tier_1_Alliance,10,1.25,97.0,1.03,6550.02
SHP-11388,Chennai,Rotterdam,11540.6,24,20ft_Standard,Textiles,5759.3,16.2,Tier_3_Spot,11,1.05,85.6,0.9,2848.17
SHP-11389,Hamburg,Singapore,15866.1,26,40ft_Standard,General_Dry,24153.3,56.0,Tier_3_Spot,5,1.05,97.6,1.27,7440.01
SHP-11390,Nhava Sheva,Dubai,2160.4,4,40ft_HighCube,Electronics,22414.2,70.1,Tier_1_Alliance,11,1.05,73.6,1.18,7386.38
SHP-11391,Hamburg,Singapore,15811.8,26,40ft_Standard,Textiles,8851.3,46.6,Tier_3_Spot,10,1.25,85.2,1.32,8138.8
SHP-11392,Tokyo,Los Angeles,8732.8,12,40ft_Standard,Hazardous_Chemicals,19507.7,48.0,Tier_3_Spot,10,1.25,86.5,1.13,9201.8
SHP-11393,Shanghai,Rotterdam,19553.5,28,LCL_Consolidated,Textiles,2335.2,13.5,Tier_3_Spot,2,0.9,93.7,1.36,3995.53
SHP-11394,Shanghai,Rotterdam,19584.9,30,LCL_Consolidated,Automotive,1239.2,2.5,Tier_3_Spot,9,1.25,105.1,1.41,5935.87
SHP-11395,Shanghai,Los Angeles,10519.8,17,40ft_Standard,Automotive,25590.2,60.4,Tier_1_Alliance,12,1.05,86.3,1.32,9036.33
SHP-11396,Nhava Sheva,New York,14298.1,29,20ft_Standard,Automotive,13358.4,19.6,Tier_1_Alliance,9,1.25,95.9,0.97,5637.79
SHP-11397,Nhava Sheva,Dubai,2136.8,6,LCL_Consolidated,General_Dry,3793.3,11.6,Tier_2_Regional,9,1.25,105.7,1.16,2088.87
SHP-11398,Hamburg,Singapore,15743.8,25,LCL_Consolidated,Textiles,1516.2,9.7,Tier_1_Alliance,3,1.05,102.0,1.36,4756.61
SHP-11399,Nhava Sheva,Dubai,2143.2,8,20ft_Standard,Perishable_Reefer,19485.2,27.5,Tier_1_Alliance,5,1.05,80.7,1.1,4559.78
SHP-11400,Nhava Sheva,Dubai,2108.4,4,40ft_Standard,General_Dry,8559.8,38.9,Tier_1_Alliance,3,1.05,101.8,1.25,5087.98
SHP-11401,Nhava Sheva,New York,14150.7,25,LCL_Consolidated,Hazardous_Chemicals,2313.5,10.4,Tier_3_Spot,5,1.05,84.4,1.08,4090.72
SHP-11402,Singapore,Dubai,5885.7,13,LCL_Consolidated,Textiles,3170.0,10.1,Tier_3_Spot,1,0.9,90.0,1.07,1652.8
SHP-11403,Singapore,Dubai,5940.1,12,20ft_Standard,Perishable_Reefer,13568.2,30.9,Tier_3_Spot,11,1.05,89.7,0.89,3642.53
SHP-11404,Chennai,Rotterdam,11592.6,21,LCL_Consolidated,Hazardous_Chemicals,914.2,4.9,Tier_3_Spot,12,1.05,94.7,0.93,3069.65
SHP-11405,Hamburg,Singapore,15849.8,24,LCL_Consolidated,General_Dry,1894.2,11.3,Tier_2_Regional,8,1.25,79.8,1.1,3813.65
SHP-11406,Chennai,Rotterdam,11536.8,25,20ft_Standard,Automotive,4243.8,18.3,Tier_2_Regional,5,1.05,97.1,1.09,3997.61
SHP-11407,Tokyo,Los Angeles,8830.7,10,40ft_HighCube,Automotive,22567.9,60.2,Tier_1_Alliance,8,1.25,82.6,0.97,7976.64
SHP-11408,Singapore,Dubai,5920.2,12,20ft_Standard,Textiles,20434.2,16.4,Tier_1_Alliance,8,1.25,89.5,0.88,3725.29
SHP-11409,Busan,Long Beach,9461.4,13,LCL_Consolidated,General_Dry,1322.1,6.1,Tier_2_Regional,11,1.05,93.0,1.15,2457.88
SHP-11410,Busan,Long Beach,9388.9,12,20ft_Standard,Electronics,5376.0,32.6,Tier_1_Alliance,10,1.25,92.3,1.12,5783.05
SHP-11411,Shanghai,Rotterdam,19558.9,30,20ft_Standard,Textiles,19158.4,21.6,Tier_3_Spot,9,1.25,75.8,1.14,6251.44
SHP-11412,Singapore,Dubai,5887.3,12,20ft_Standard,General_Dry,7730.0,32.1,Tier_1_Alliance,6,1.05,89.1,1.15,3824.23
SHP-11413,Nhava Sheva,Dubai,2181.3,5,20ft_Standard,General_Dry,4554.8,18.4,Tier_1_Alliance,4,1.05,88.1,1.42,3487.95
SHP-11414,Shanghai,Rotterdam,19511.5,30,20ft_Standard,Textiles,13478.2,17.1,Tier_1_Alliance,1,0.9,80.4,0.96,4167.5
SHP-11415,Shanghai,Los Angeles,10549.3,16,20ft_Standard,Hazardous_Chemicals,12183.5,15.2,Tier_1_Alliance,9,1.25,96.0,1.2,7998.48
SHP-11416,Chennai,Rotterdam,11460.7,22,40ft_HighCube,Electronics,24422.1,50.8,Tier_2_Regional,8,1.25,89.2,1.0,8114.89
SHP-11417,Shanghai,Los Angeles,10477.6,17,20ft_Standard,Electronics,5285.2,24.2,Tier_3_Spot,2,0.9,89.2,1.41,4363.04
SHP-11418,Nhava Sheva,New York,14213.2,26,LCL_Consolidated,Textiles,4719.2,11.9,Tier_2_Regional,7,1.05,74.1,1.11,3238.2
SHP-11419,Shanghai,Rotterdam,19556.1,27,40ft_Standard,Textiles,24754.0,47.5,Tier_3_Spot,10,1.25,102.1,1.0,7578.22
SHP-11420,Shanghai,Los Angeles,10495.9,17,LCL_Consolidated,Textiles,1207.8,9.2,Tier_3_Spot,5,1.05,89.9,0.92,2051.42
SHP-11421,Singapore,Fremantle,3806.2,7,20ft_Standard,Textiles,16912.5,15.7,Tier_1_Alliance,5,1.05,86.2,1.13,3537.2
SHP-11422,Shanghai,Rotterdam,19460.7,31,40ft_HighCube,Hazardous_Chemicals,19205.9,57.0,Tier_2_Regional,12,1.05,93.2,1.18,11744.74
SHP-11423,Santos,Rotterdam,10221.0,21,40ft_Standard,Perishable_Reefer,9637.8,50.7,Tier_2_Regional,6,1.05,91.2,1.21,7956.63
SHP-11424,Nhava Sheva,New York,14150.3,27,40ft_HighCube,Hazardous_Chemicals,19243.3,54.7,Tier_3_Spot,6,1.05,104.7,1.19,10122.64
SHP-11425,Shanghai,Rotterdam,19594.5,28,40ft_HighCube,Automotive,17407.7,53.2,Tier_3_Spot,7,1.05,96.1,0.98,6773.7
SHP-11426,Singapore,Fremantle,3978.1,8,40ft_HighCube,Electronics,22347.6,67.1,Tier_3_Spot,9,1.25,83.6,1.31,8811.7
SHP-11427,Singapore,Fremantle,3904.0,7,40ft_HighCube,Textiles,13703.2,69.5,Tier_1_Alliance,6,1.05,78.6,1.23,6668.4
SHP-11428,Chennai,Colombo,625.0,5,LCL_Consolidated,Textiles,4696.2,7.5,Tier_2_Regional,6,1.05,77.3,1.21,1306.49
SHP-11429,Singapore,Dubai,5824.9,12,LCL_Consolidated,General_Dry,1350.2,13.2,Tier_1_Alliance,8,1.25,88.4,1.42,3323.91
SHP-11430,Singapore,Fremantle,3964.2,11,LCL_Consolidated,Electronics,729.5,7.1,Tier_2_Regional,8,1.25,93.4,1.14,2308.01
SHP-11431,Hamburg,Singapore,15762.6,24,40ft_Standard,General_Dry,21682.2,66.8,Tier_2_Regional,1,0.9,102.5,1.03,5695.78
SHP-11432,Tokyo,Los Angeles,8807.0,11,20ft_Standard,Textiles,10618.7,15.7,Tier_3_Spot,11,1.05,92.4,0.89,2758.83
SHP-11433,Shanghai,Rotterdam,19595.4,29,40ft_HighCube,Perishable_Reefer,14148.8,64.2,Tier_1_Alliance,10,1.25,99.1,1.38,16822.13
SHP-11434,Shanghai,Rotterdam,19568.2,28,20ft_Standard,Automotive,8700.9,19.0,Tier_3_Spot,7,1.05,79.3,1.21,5486.47
SHP-11435,Shanghai,Los Angeles,10418.2,17,40ft_HighCube,Perishable_Reefer,11722.3,71.2,Tier_1_Alliance,4,1.05,80.7,1.21,10169.63
SHP-11436,Shanghai,Los Angeles,10583.5,15,20ft_Standard,General_Dry,15080.9,22.8,Tier_1_Alliance,10,1.25,102.6,1.12,5561.98
SHP-11437,Nhava Sheva,Dubai,2020.1,4,LCL_Consolidated,Textiles,2491.4,10.9,Tier_2_Regional,7,1.05,102.6,1.29,1971.08
SHP-11438,Chennai,Rotterdam,11508.3,23,40ft_Standard,Textiles,15859.7,63.0,Tier_2_Regional,6,1.05,83.6,1.15,6402.1
SHP-11439,Singapore,Fremantle,3877.6,10,40ft_Standard,Hazardous_Chemicals,20662.2,54.2,Tier_1_Alliance,12,1.05,96.6,0.97,7195.66
SHP-11440,Hamburg,Singapore,15741.4,25,40ft_HighCube,Perishable_Reefer,14477.8,54.0,Tier_2_Regional,4,1.05,85.7,1.35,11190.69
SHP-11441,Chennai,Rotterdam,11537.3,25,40ft_Standard,Textiles,9164.5,57.8,Tier_3_Spot,1,0.9,86.0,1.07,4554.9
SHP-11442,Hamburg,Singapore,15704.1,26,LCL_Consolidated,Perishable_Reefer,2468.1,6.2,Tier_1_Alliance,5,1.05,85.2,1.42,6119.56
SHP-11443,Chennai,Colombo,581.6,3,40ft_Standard,General_Dry,14562.3,59.3,Tier_2_Regional,2,0.9,97.5,0.97,3347.88
SHP-11444,Singapore,Fremantle,3939.1,7,40ft_HighCube,General_Dry,26776.2,59.0,Tier_3_Spot,5,1.05,77.1,1.12,5409.23
SHP-11445,Shanghai,Los Angeles,10445.8,15,40ft_Standard,Automotive,12172.7,38.0,Tier_1_Alliance,1,0.9,92.6,1.3,6440.66
SHP-11446,Busan,Long Beach,9335.2,16,LCL_Consolidated,Perishable_Reefer,1563.1,11.7,Tier_1_Alliance,4,1.05,93.7,0.92,3056.23
SHP-11447,Nhava Sheva,New York,14153.8,26,20ft_Standard,Perishable_Reefer,16695.5,28.0,Tier_3_Spot,3,1.05,91.2,0.98,5352.29
SHP-11448,Chennai,Rotterdam,11465.1,22,40ft_HighCube,Automotive,19016.4,72.7,Tier_1_Alliance,7,1.05,76.9,0.91,6706.88
SHP-11449,Shanghai,Los Angeles,10569.3,14,40ft_HighCube,Automotive,18323.3,59.1,Tier_2_Regional,12,1.05,76.0,1.01,6259.5
SHP-11450,Santos,Rotterdam,10221.2,17,20ft_Standard,Perishable_Reefer,3010.3,23.3,Tier_1_Alliance,8,1.25,96.4,1.09,6322.3
SHP-11451,Tokyo,Los Angeles,8845.2,14,LCL_Consolidated,Textiles,2092.7,9.3,Tier_3_Spot,12,1.05,102.2,1.1,2434.16
SHP-11452,Singapore,Dubai,5904.7,12,40ft_Standard,Automotive,10272.3,36.2,Tier_2_Regional,2,0.9,93.6,1.08,4222.71
SHP-11453,Singapore,Dubai,5823.1,12,LCL_Consolidated,Perishable_Reefer,2181.3,5.8,Tier_2_Regional,4,1.05,99.0,1.0,2514.14
SHP-11454,Santos,Rotterdam,10250.1,20,40ft_Standard,Textiles,15134.5,39.6,Tier_2_Regional,4,1.05,104.5,1.02,5233.71
SHP-11455,Hamburg,Singapore,15793.3,26,40ft_HighCube,Electronics,12347.5,74.7,Tier_2_Regional,4,1.05,106.1,1.36,10268.39
SHP-11456,Nhava Sheva,New York,14159.1,25,40ft_HighCube,Perishable_Reefer,25966.8,72.0,Tier_2_Regional,2,0.9,93.5,1.07,8384.42
SHP-11457,Tokyo,Los Angeles,8810.3,10,LCL_Consolidated,General_Dry,1991.5,5.7,Tier_2_Regional,9,1.25,78.0,1.42,3318.68
SHP-11458,Shanghai,Los Angeles,10548.9,17,40ft_HighCube,General_Dry,19171.1,64.6,Tier_1_Alliance,6,1.05,72.9,1.1,7010.32
SHP-11459,Singapore,Fremantle,3892.1,11,40ft_HighCube,Hazardous_Chemicals,10916.5,61.0,Tier_2_Regional,2,0.9,103.8,1.29,7759.37
SHP-11460,Hamburg,Singapore,15852.7,23,20ft_Standard,Electronics,8942.7,27.9,Tier_2_Regional,12,1.05,98.0,1.02,5008.62
SHP-11461,Shanghai,Los Angeles,10552.4,14,20ft_Standard,Automotive,7963.7,19.0,Tier_2_Regional,1,0.9,82.9,1.39,4255.0
SHP-11462,Nhava Sheva,Dubai,2083.7,5,LCL_Consolidated,Electronics,2961.8,5.1,Tier_2_Regional,4,1.05,72.0,0.92,1146.57
SHP-11463,Chennai,Rotterdam,11453.1,24,20ft_Standard,Electronics,19472.4,18.0,Tier_2_Regional,11,1.05,89.8,0.92,4041.96
SHP-11464,Chennai,Colombo,712.3,4,40ft_HighCube,Perishable_Reefer,20386.8,62.0,Tier_2_Regional,12,1.05,83.9,1.24,7695.9
SHP-11465,Tokyo,Los Angeles,8731.1,14,40ft_HighCube,Automotive,14071.6,45.7,Tier_1_Alliance,8,1.25,81.8,1.39,10167.53
SHP-11466,Singapore,Dubai,5899.8,12,20ft_Standard,Automotive,17430.1,19.6,Tier_2_Regional,3,1.05,92.0,1.34,4714.12
SHP-11467,Nhava Sheva,Dubai,2176.1,5,LCL_Consolidated,Electronics,3638.2,8.1,Tier_1_Alliance,7,1.05,98.7,1.11,2012.03
SHP-11468,Shanghai,Rotterdam,19459.8,28,40ft_Standard,Automotive,25072.8,56.2,Tier_2_Regional,6,1.05,105.3,0.91,6769.71
SHP-11469,Hamburg,Singapore,15863.0,24,LCL_Consolidated,Perishable_Reefer,2002.0,6.4,Tier_1_Alliance,5,1.05,80.5,1.35,5763.17
SHP-11470,Chennai,Colombo,735.6,5,40ft_Standard,Perishable_Reefer,23290.1,44.2,Tier_2_Regional,10,1.25,101.0,1.06,7174.3
SHP-11471,Singapore,Fremantle,3865.4,10,20ft_Standard,General_Dry,4481.6,28.3,Tier_1_Alliance,3,1.05,91.5,1.15,3248.96
SHP-11472,Nhava Sheva,New York,14286.9,26,20ft_Standard,General_Dry,6196.3,17.4,Tier_2_Regional,6,1.05,96.4,1.38,5203.94
SHP-11473,Busan,Long Beach,9371.5,16,20ft_Standard,General_Dry,19071.8,20.9,Tier_1_Alliance,1,0.9,107.9,0.92,3301.48
SHP-11474,Chennai,Rotterdam,11522.9,22,40ft_Standard,Perishable_Reefer,9935.7,54.0,Tier_2_Regional,10,1.25,102.1,0.92,7686.23
SHP-11475,Singapore,Fremantle,3856.9,7,LCL_Consolidated,Automotive,1208.3,11.3,Tier_2_Regional,9,1.25,75.5,1.21,2239.28
SHP-11476,Busan,Long Beach,9356.7,15,40ft_HighCube,Textiles,22508.4,70.1,Tier_1_Alliance,6,1.05,106.3,1.05,7198.18
SHP-11477,Santos,Rotterdam,10241.1,20,LCL_Consolidated,Electronics,3498.1,4.5,Tier_2_Regional,8,1.25,77.4,0.96,2853.17
SHP-11478,Nhava Sheva,New York,14111.7,25,40ft_Standard,General_Dry,10270.0,58.1,Tier_2_Regional,5,1.05,99.7,1.25,6972.21
SHP-11479,Singapore,Fremantle,3847.9,10,LCL_Consolidated,Perishable_Reefer,4684.4,10.0,Tier_1_Alliance,11,1.05,91.9,1.2,2905.3
SHP-11480,Busan,Long Beach,9342.0,15,20ft_Standard,Hazardous_Chemicals,10034.3,21.2,Tier_1_Alliance,1,0.9,73.1,1.34,5850.12
SHP-11481,Singapore,Dubai,5877.9,12,LCL_Consolidated,Textiles,4026.8,12.4,Tier_2_Regional,8,1.25,76.8,1.06,2269.79
SHP-11482,Busan,Long Beach,9384.5,14,40ft_Standard,General_Dry,25177.2,48.3,Tier_1_Alliance,8,1.25,103.5,1.06,7607.05
SHP-11483,Chennai,Rotterdam,11576.8,22,LCL_Consolidated,Hazardous_Chemicals,3743.5,7.0,Tier_1_Alliance,1,0.9,94.7,1.26,4344.3
SHP-11484,Singapore,Fremantle,3874.6,7,20ft_Standard,Perishable_Reefer,6630.8,17.7,Tier_3_Spot,11,1.05,95.7,1.28,4072.01
SHP-11485,Tokyo,Los Angeles,8754.7,13,40ft_Standard,Perishable_Reefer,22405.0,49.6,Tier_3_Spot,12,1.05,93.3,1.04,6856.98
SHP-11486,Chennai,Colombo,558.9,4,20ft_Standard,Perishable_Reefer,14286.8,29.3,Tier_3_Spot,8,1.25,101.9,1.11,4356.05
SHP-11487,Chennai,Colombo,732.8,6,40ft_Standard,Hazardous_Chemicals,12012.2,43.5,Tier_3_Spot,11,1.05,102.7,1.32,6704.06
SHP-11488,Santos,Rotterdam,10280.9,19,LCL_Consolidated,Hazardous_Chemicals,2888.3,2.5,Tier_1_Alliance,8,1.25,80.6,0.88,3496.53
SHP-11489,Chennai,Rotterdam,11591.7,23,LCL_Consolidated,General_Dry,4408.5,10.8,Tier_3_Spot,11,1.05,100.4,1.3,3319.36
SHP-11490,Santos,Rotterdam,10110.2,21,40ft_Standard,Automotive,17942.5,59.9,Tier_3_Spot,4,1.05,105.3,1.09,6137.39
SHP-11491,Busan,Long Beach,9365.7,16,40ft_Standard,General_Dry,15731.0,45.5,Tier_3_Spot,4,1.05,106.1,0.89,4328.44
SHP-11492,Shanghai,Los Angeles,10586.2,15,40ft_Standard,Textiles,20092.6,48.3,Tier_2_Regional,7,1.05,79.3,0.97,5087.48
SHP-11493,Nhava Sheva,New York,14253.0,27,40ft_HighCube,Automotive,19876.3,47.1,Tier_3_Spot,3,1.05,103.4,1.34,8534.81
SHP-11494,Chennai,Rotterdam,11590.7,21,40ft_HighCube,Electronics,23768.2,55.5,Tier_1_Alliance,9,1.25,99.6,1.3,12022.91
SHP-11495,Chennai,Colombo,652.2,5,40ft_HighCube,General_Dry,24202.0,56.0,Tier_2_Regional,7,1.05,101.0,1.17,5683.66
SHP-11496,Singapore,Dubai,5945.1,13,20ft_Standard,General_Dry,5624.6,17.9,Tier_1_Alliance,12,1.05,91.3,1.14,3471.1
SHP-11497,Santos,Rotterdam,10170.3,19,LCL_Consolidated,Perishable_Reefer,4132.7,11.3,Tier_1_Alliance,7,1.05,79.6,0.98,3430.41
SHP-11498,Santos,Rotterdam,10196.7,21,20ft_Standard,Textiles,18021.2,31.8,Tier_1_Alliance,8,1.25,92.1,1.13,5981.86
SHP-11499,Shanghai,Rotterdam,19528.5,28,20ft_Standard,General_Dry,6385.4,25.3,Tier_2_Regional,1,0.9,107.6,1.38,5554.39
SHP-11500,Santos,Rotterdam,10167.7,17,40ft_HighCube,Perishable_Reefer,12413.4,48.0,Tier_1_Alliance,9,1.25,92.2,0.94,8869.49
SHP-11501,Shanghai,Los Angeles,10494.7,17,40ft_HighCube,General_Dry,24594.9,69.4,Tier_3_Spot,11,1.05,83.4,1.05,5992.79
SHP-11502,Hamburg,Singapore,15758.7,23,20ft_Standard,Hazardous_Chemicals,20353.4,17.5,Tier_3_Spot,5,1.05,101.4,1.42,8684.27
SHP-11503,Singapore,Dubai,5868.0,12,20ft_Standard,Automotive,4352.0,20.6,Tier_2_Regional,5,1.05,86.6,0.89,2586.32
SHP-11504,Singapore,Dubai,5865.6,9,40ft_Standard,Automotive,18791.8,38.2,Tier_3_Spot,2,0.9,75.4,1.02,3889.7
SHP-11505,Shanghai,Rotterdam,19463.7,27,40ft_Standard,Automotive,18480.1,37.5,Tier_1_Alliance,1,0.9,82.0,1.33,8312.53
